dt,weather,visibility,pop,dt_txt,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.sea_level,main.grnd_level,main.humidity,main.temp_kf,clouds.all,wind.speed,wind.deg,wind.gust,rain.3h,sys.pod
1751468400,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",10000,1.0,2025-07-02 15:00:00,300.11,303.08,299.09,300.11,1013,1013,1011,83,1.02,58,3.97,175,4.24,2.87,n
1751479200,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",10000,1.0,2025-07-02 18:00:00,299.65,299.65,299.16,299.65,1012,1012,1010,81,0.49,36,3.79,194,4.27,0.2,n
1751490000,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",10000,0.0,2025-07-02 21:00:00,299.15,299.15,299.15,299.15,1013,1013,1011,80,0.0,4,2.95,190,2.99,,d
1751500800,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",10000,0.0,2025-07-03 00:00:00,301.37,304.11,301.37,301.37,1012,1012,1011,69,0.0,13,3.84,158,3.15,,d
1751511600,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",10000,0.0,2025-07-03 03:00:00,303.68,306.37,303.68,303.68,1011,1011,1009,57,0.0,33,6.01,165,5.59,,d
1751522400,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",10000,0.0,2025-07-03 06:00:00,304.07,306.03,304.07,304.07,1010,1010,1009,52,0.0,21,7.99,186,7.93,,d
1751533200,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",10000,0.0,2025-07-03 09:00:00,301.97,303.6,301.97,301.97,1011,1011,1009,58,0.0,0,7.62,179,8.4,,d
1751544000,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",10000,0.0,2025-07-03 12:00:00,299.91,301.26,299.91,299.91,1012,1012,1010,65,0.0,40,6.34,171,7.99,,n
1751554800,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",10000,0.0,2025-07-03 15:00:00,299.0,299.49,299.0,299.0,1011,1011,1009,71,0.0,58,5.61,184,7.4,,n
1751565600,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",10000,0.0,2025-07-03 18:00:00,298.63,299.17,298.63,298.63,1010,1010,1008,74,0.0,61,4.21,184,5.16,,n
1751576400,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",10000,0.0,2025-07-03 21:00:00,298.52,299.07,298.52,298.52,1010,1010,1008,75,0.0,67,4.42,178,5.06,,d
1751587200,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",10000,0.0,2025-07-04 00:00:00,301.29,303.29,301.29,301.29,1010,1010,1008,64,0.0,61,3.94,170,3.46,,d
1751598000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",10000,0.0,2025-07-04 03:00:00,303.9,305.94,303.9,303.9,1008,1008,1006,53,0.0,75,5.74,168,5.06,,d
1751608800,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",10000,0.0,2025-07-04 06:00:00,304.84,306.73,304.84,304.84,1006,1006,1004,49,0.0,69,6.44,182,5.68,,d
1751619600,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",10000,0.0,2025-07-04 09:00:00,302.24,304.5,302.24,302.24,1006,1006,1004,61,0.0,83,7.02,184,7.22,,d
1751630400,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",10000,0.0,2025-07-04 12:00:00,300.11,302.19,300.11,300.11,1006,1006,1004,73,0.0,82,6.34,175,7.97,,n
1751641200,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",10000,0.0,2025-07-04 15:00:00,299.57,299.57,299.57,299.57,1005,1005,1003,78,0.0,100,4.71,172,5.26,,n
1751652000,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",10000,0.0,2025-07-04 18:00:00,299.54,299.54,299.54,299.54,1004,1004,1002,79,0.0,100,2.99,157,3.08,,n
1751662800,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",10000,0.0,2025-07-04 21:00:00,299.52,299.52,299.52,299.52,1004,1004,1003,80,0.0,86,2.5,154,2.66,,d
1751673600,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",10000,0.0,2025-07-05 00:00:00,301.91,305.02,301.91,301.91,1004,1004,1003,68,0.0,69,2.74,115,2.11,,d
1751684400,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",10000,0.36,2025-07-05 03:00:00,304.73,308.19,304.73,304.73,1003,1003,1001,56,0.0,29,4.49,147,3.68,0.3,d
1751695200,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",10000,0.4,2025-07-05 06:00:00,304.7,308.65,304.7,304.7,1002,1002,1000,58,0.0,21,6.94,177,6.16,,d
1751706000,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",10000,0.09,2025-07-05 09:00:00,303.38,307.08,303.38,303.38,1003,1003,1001,63,0.0,1,5.92,184,5.49,,d
1751716800,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",10000,0.3,2025-07-05 12:00:00,301.35,304.65,301.35,301.35,1004,1004,1002,73,0.0,9,4.24,168,3.99,0.32,n
1751727600,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",10000,1.0,2025-07-05 15:00:00,299.94,302.35,299.94,299.94,1004,1004,1002,79,0.0,56,3.09,157,2.89,1.62,n
1751738400,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",10000,0.88,2025-07-05 18:00:00,299.54,299.54,299.54,299.54,1003,1003,1001,79,0.0,32,1.69,154,1.24,,n
1751749200,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",10000,0.0,2025-07-05 21:00:00,299.97,302.25,299.97,299.97,1004,1004,1002,77,0.0,40,0.38,102,0.92,,d
1751760000,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",10000,0.0,2025-07-06 00:00:00,302.25,305.01,302.25,302.25,1004,1004,1002,64,0.0,32,2.45,98,2.01,,d
1751770800,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",10000,0.0,2025-07-06 03:00:00,305.95,307.5,305.95,305.95,1003,1003,1001,44,0.0,4,3.51,141,2.19,,d
1751781600,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",10000,0.0,2025-07-06 06:00:00,307.4,308.75,307.4,307.4,1002,1002,1000,39,0.0,4,6.24,165,4.82,,d
1751792400,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",10000,0.0,2025-07-06 09:00:00,304.46,306.5,304.46,304.46,1003,1003,1001,51,0.0,1,7.34,187,7.08,,d
1751803200,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000,0.0,2025-07-06 12:00:00,301.31,303.2,301.31,301.31,1005,1005,1003,63,0.0,0,5.21,182,5.84,,n
1751814000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",10000,0.0,2025-07-06 15:00:00,300.41,302.26,300.41,300.41,1005,1005,1003,68,0.0,74,4.0,168,4.32,,n
1751824800,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",10000,0.0,2025-07-06 18:00:00,300.09,301.83,300.09,300.09,1004,1004,1003,69,0.0,92,2.17,153,1.85,,n
1751835600,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",10000,0.0,2025-07-06 21:00:00,300.24,301.9,300.24,300.24,1005,1005,1003,67,0.0,45,1.68,93,1.47,,d
1751846400,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",10000,0.0,2025-07-07 00:00:00,302.79,304.61,302.79,302.79,1005,1005,1004,56,0.0,23,2.11,79,2.21,,d
1751857200,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",10000,0.0,2025-07-07 03:00:00,306.37,308.49,306.37,306.37,1004,1004,1002,45,0.0,7,2.43,98,3.19,,d
1751868000,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",10000,0.0,2025-07-07 06:00:00,305.46,307.84,305.46,305.46,1003,1003,1001,49,0.0,41,5.03,128,5.26,,d
1751878800,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",10000,0.0,2025-07-07 09:00:00,303.93,305.99,303.93,303.93,1004,1004,1002,53,0.0,10,5.04,141,5.28,,d
1751889600,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",10000,0.0,2025-07-07 12:00:00,301.79,302.94,301.79,301.79,1005,1005,1003,55,0.0,54,2.5,87,2.47,,n
